Especies,Comportamiento,Entrenamiento,Ejercicio,Comunicacion,Habilidades,Cuidado,Tamaño,Cabeza,Vision,Pelaje,Orejas,Cola,Mandibula,Movimiento
Gato Burmese de Pelo Largo,Activo,fácil,Moderado,Vocal,Buen compañero,Bajo,Mediano,Redonda,Buena,Largo y sedoso,Caídas,Larga y flexible,Robusta,Lento
Perro Vizsla,Juguetón,fácil,Alto,Vocal,Caza,Moderado,Grande,Cuadrada,Buena,Corto y denso,Caídas,Larga y flexible,Fuerte,Ágil y rápido
Gato Balinés,Juguetón,fácil,Bajo,Vocal,Compañero,Bajo,Mediano,Redonda,Buena,Largo y sedoso,Caídas,Larga y delgada,Robusta,Lento
Gato Persian,Calmado,moderado,Bajo,Vocal,Compañero,Bajo,Mediano,Redonda,Buena,Largo y sedoso,Caídas,Larga y peluda,Robusta,Lento
Gato Scottish Straight,Calmado,fácil,Bajo,Vocal,Compañero,Bajo,Mediano,Redonda,Buena,Corto y denso,Caídas,Larga y flexible,Robusta,Lento
Gato British Shorthair,Calmado,fácil,Bajo,Vocal,Compañero,Bajo,Grande,Redonda,Buena,Corto y denso,Caídas,Corta y ancha,Robusta,Lento
Gato Exótico de Pelo Corto,Cariñoso,fácil,Bajo,Vocal,Compañero,Bajo,Mediano,Redonda,Buena,Corto y denso,Caídas,Corta y flexible,Robusta,Lento
Gato Norwegian Forest,Activo,fácil,Alto,Vocal,Compañero,Bajo,Grande,Triangular,Muy buena,Largo y sedoso,Caídas,Larga y peluda,Robusta,Ágil y enérgico
Perro Greyhound,Energia baja,fácil,Alto,Vocal,Caza,Moderado,Grande,Circular,Buena,Corto y suave,Caídas,Corta y delgada,Fuerte,Ágil y rápido
Gato Russian Blue,Calmado,fácil,Bajo,Vocal,Cazador,Bajo,Mediano,Redonda,Buena,Corto y denso,Caídas,Corta y suave,Robusta,Lento
Gato LaPerm,Juguetón,fácil,Moderado,Vocal,Buen compañero,Bajo,Mediano,Triangular,Buena,Largo y rizado,Caídas,Larga y flexible,Fuerte,Ágil y alegre
Perro Boston Terrier,Cariñoso,fácil,Bajo,Vocal,Compañero,Bajo,Pequeño,Circular,Buena,Corto y suave,Caídas,Corta y recta,Robusta,Lento
Gato American Wirehair,Activo,fácil,Bajo,Vocal,Compañero,Bajo,Mediano,Triangular,Buena,Corto y rizado,Caídas,Corta y flexible,Robusta,Lento
Gato Tonkinés,Juguetón,fácil,Moderado,Vocal,Compañero,Bajo,Mediano,Triangular,Buena,Corto y suave,Caídas,Larga y flexible,Robusta,Lento
Perro Bulldog Inglés,Cariñoso,fácil,Bajo,Vocal,Compañero,Bajo,Mediano,Circular,Buena,Corto y suave,Caídas,Corta y ancha,Robusta,Lento
Gato Birmano,Cariñoso,fácil,Bajo,Vocal,Compañero,Bajo,Mediano,Redonda,Buena,Largo y sedoso,Caídas,Larga y flexible,Robusta,Lento
Gato Savannah,Juguetón,fácil,Alto,Vocal,Cazador,Bajo,Grande,Triangular,Buena,Corto y denso,Caídas,Larga y flexible,Fuerte,Ágil y rápido
Perro Bull Terrier,Juguetón,difícil,Alto,Vocal,Compañero,Moderado,Mediano,Cuadrada,Buena,Corto y denso,Caídas,Largo y recto,Fuerte,Ágil y enérgico
Perro Alaskan Malamute,Energia alta,moderado,Alto,Vocal,Tracción,Bajo,Grande,Circular,Muy buena,Corto y denso,Caídas,Larga y gruesa,Fuerte,Ágil y fuerte
Gato Cornish Rex,Juguetón,fácil,Moderado,Vocal,Compañero,Bajo,Pequeño,Triangular,Buena,Corto y rizado,Caídas,Larga y delgada,Fuerte,Ágil y activo
Perro Poodle,Juguetón,fácil,Moderado,Vocal,Habilidades,Bajo,Mediano,Cuadrada,Buena,Largo y rizado,Caídas,Larga y rizada,Fuerte,Ágil y elegante
Gato American Curl,Cariñoso,fácil,Bajo,Vocal,Compañero,Bajo,Mediano,Redonda,Buena,Corto y suave,Caídas,Larga y flexible,Robusta,Lento
Perro Jack Russell Terrier,Energia alta,fácil,Alto,Vocal,Compañero,Bajo,Pequeño,Circular,Buena,Corto y denso,Caídas,Corta y recta,Fuerte,Ágil y veloz
Gato Munchkin,Juguetón,fácil,Bajo,Vocal,Compañero,Bajo,Pequeño,Redonda,Buena,Corto y denso,Caídas,Corta y flexible,Robusta,Lento
Gato Oriental Shorthair,Activa,fácil,Moderado,Vocal,Compañero,Bajo,Mediano,Triangular,Buena,Corto y denso,Caídas,Larga y delgada,Fuerte,Ágil y rápido
Perro Samoyedo,Amigable,fácil,Alto,Vocal,Guardián,Moderado,Mediano,Cuadrada,Muy buena,Largo y sedoso,Caídas,Larga y esponjosa,Fuerte,Ágil y fuerte
Gato Japanese Bobtail,Activo,fácil,Moderado,Vocal,Cazador,Bajo,Mediano,Triangular,Buena,Corto y denso,Caídas,Corta y recta,Robusta,Lento
Perro Setter Inglés,Juguetón,fácil,Alto,Vocal,Caza,Moderado,Grande,Cuadrada,Buena,Largo y sedoso,Caídas,Larga y recta,Robusta,Ágil y elegante
Perro Affenpinscher,Juguetón,fácil,Bajo,Vocal,Compañero,Bajo,Pequeño,Circular,Buena,Corto y denso,Caídas,Corta y recta,Robusta,Lento
Perro Collie,Juguetón,fácil,Alto,Vocal,Caza,Bajo,Grande,Circular,Buena,Largo y sedoso,Caídas,Larga y recta,Robusta,Ágil y veloz
Gato Exotic Shorthair,Cariñoso,fácil,Bajo,Vocal,Compañero,Bajo,Mediano,Redonda,Buena,Corto y denso,Caídas,Corta y flexible,Robusta,Lento
Gato Somali,Activo,fácil,Moderado,Vocal,Compañero,Bajo,Mediano,Triangular,Buena,Largo y sedoso,Caídas,Larga y flexible,Robusta,Lento
Gato Burmés,Cariñoso,fácil,Moderado,Vocal,Compañero,Bajo,Pequeño,Triangular,Buena,Corto y denso,Caídas,Larga y flexible,Robusta,Lento
Perro Pitbull Americano,Enérgico,difícil,Alto,Vocal,Guardián,Bajo,Mediano,Circular,Buena,Corto y denso,Caídas,Corta y recta,Fuerte,Ágil y fuerte
Perro Yorkshire Terrier,Cariñoso,fácil,Bajo,Vocal,Compañero,Bajo,Pequeño,Circular,Buena,Largo y sedoso,Caídas,Larga y recta,Robusta,Lento  
Perro Cocker Spaniel Americano,Amigable,fácil,Moderado,Vocal,Compañero,Bajo,Mediano,Circular,Buena,Largo y sedoso,Caídas,Larga y recta,Robusta,Lento
Perro San Bernardo,Cariñoso,difícil,Bajo,Vocal,Guardián,Bajo,Grande,Cuadrada,Muy buena,Corto y denso,Caídas,Larga y recta,Fuerte,Lento
Gato Selkirk Rex,Juguetón,fácil,Moderado,Vocal,Compañero,Bajo,Mediano,Circular,Buena,Rizado,Caídas,Larga y flexible,Robusta,Lento
Gato Turkish Van,Activo,fácil,Alto,Vocal,Cazador,Bajo,Mediano,Circular,Buena,Largo y sedoso,Caídas,Larga y flexible,Robusta,Lento
Perro Siberian Husky,Enérgico,difícil,Alto,Vocal,Caza,Moderado,Mediano,Circular,Buena,Corto y denso,Caídas,Larga y flexible,Robusta,Ágil y fuerte
Perro Dogo Argentino,Leal,difícil,Moderado,Vocal,Guardián,Moderado,Grande,Circular,Buena,Corto y denso,Caídas,Larga y recta,Fuerte,Ágil y fuerte
Perro Akita Inu,Leal,difícil,Moderado,Vocal,Guardián,Bajo,Grande,Circular,Buena,Corto y denso,Caídas,Larga y recta,Fuerte,Lento
Perro Doberman Pincher,Inteligente,difícil,Alto,Vocal,Guardián,Moderado,Grande,Circular,Buena,Corto y denso,Caídas,Larga y recta,Fuerte,Ágil y fuerte
Perro Bullmastiff,Amigable,difícil,Moderado,Vocal,Guardián,Bajo,Grande,Circular,Buena,Corto y denso,Caídas,Larga y recta,Fuerte,Lento
Perro Parson Russell Terrier,Enérgico,difícil,Alto,Vocal,Caza,Moderado,Pequeño,Circular,Buena,Corto y denso,Caídas,Corta y recta,Fuerte,Ágil y enérgico
Perro Cáncer de Dogo,Amigable,difícil,Alto,Vocal,Guardián,Bajo,Grande,Circular,Buena,Corto y denso,Caídas,Larga y recta,Lento,Lento
Gato Tigrado,Independiente,fácil,Moderado,Vocal,Caza,Bajo,Mediano,Triangular,Buena,Corto y denso,Caídas,Larga y flexible,Robusta,Lento
Gato Pixie-bob,Juguetón,fácil,Moderado,Vocal,Compañero,Bajo,Grande,Triangular,Buena,Corto y denso,Caídas,Larga y flexible,Robusta,Lento
